College Code,College Name,City,Institute Type,Status,University,Home University,Branch Code,Branch Name,Seat Category,Closing Rank,Closing Percentile,Stage,Academic Year,CAP Round,PDF Page Number
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,DEFOBCS,3342,98.9992248,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,TFWS,123,99.9442217,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,PWDROBCS,13964,95.9989694,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,DEFROBCS,1628,99.4740509,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,ORPHAN,26524,92.2439918,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224510,Computer Engineering,EWS,882,99.6931987,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GOPENS,242,99.8985029,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GSCS,4557,98.6520376,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GSTS,13606,96.0898561,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GVJS,2355,99.2574516,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GNT1S,1223,99.585149,Stage I,2025-26,1,1
03012,"Veermata Jijabai Technological Institute(Vjti), Matunga, Mumbai",Mumbai,Government-Aided,Autonomous,Mumbai University,Autonomous Institute,0301224610,Information Technology,GNT2S,1976,99.3730408,Stage I,2025-26,1,1
